field,section,idx,description,include,subsection_descr,placeholder,atc_codes
Qualifier1,1,UT,using open approach with localization device,,,,
Qualifier1,1,UU,using open approach with loop stabilization technique,,,,
Qualifier1,1,UV,using open approach with mammographic wire localization,,,,
Qualifier1,1,UW,using open approach with manual technique,,,,
Qualifier1,1,UX,using open approach with medial spindle technique,,,,
Qualifier1,1,UY,using open approach with meniscectomy [or meniscoplasty],,,,
Qualifier1,1,UZ,using open approach with mobilization of hyoid bone for access,,,,
Qualifier1,1,VA,using open approach with total node dissection,,,,
Qualifier1,1,VB,using open approach with modified radical neck dissection,,,,
Qualifier1,1,VC,using open approach with multiple sites,,,,
Qualifier1,1,VD,using open approach with node dissection [low level] [without localization assistance],,,,
Qualifier1,1,VE,"using open approach with node dissection [low level], with mammographic wire localization",,,,
Qualifier1,1,VF,"using open approach with node dissection [low level], with needle hook or guide wire localization",,,,
Qualifier1,1,VG,using open approach low level node dissection,,,,
Qualifier1,1,VH,using open approach with optical technique,,,,
Qualifier1,1,VJ,using open approach with osteotomy,,,,
Qualifier1,1,VK,using open approach with pancreaticoenterostomy,,,,
Qualifier1,1,VL,using open approach with pancreaticogastrostomy,,,,
Qualifier1,1,VM,using open approach with pars plana lensectomy,,,,
Qualifier1,1,VN,using open approach with partial neck dissection,,,,
Qualifier1,1,VO,using open approach with phacoemulsification and laser,,,,
Qualifier1,1,VP,using open approach with partial thickness excision,,,,
Qualifier1,1,VQ,using open approach with periareolar round block technique,,,,
Qualifier1,1,VR,using open approach with phakoemulsification,,,,
Qualifier1,1,VS,using open approach with placement/implant of stent,,,,
Qualifier1,1,VT,using open approach with plication technique,,,,
Qualifier1,1,VU,using open approach with posterior female pelvic exenteration,,,,
Qualifier1,1,VV,"using open approach with posterior female pelvic exenteration, with vaginal reconstruction",,,,
Qualifier1,1,VW,using open approach with preservation of facial nerve technique,,,,
Qualifier1,1,VX,using open approach with preservation of vascular [or neural] pedicle technique,,,,
Qualifier1,1,VY,using open approach with proximal vagotomy,,,,
Qualifier1,1,VZ,using open approach with pylorus preserving technique,,,,
Qualifier1,1,WA,"using open approach with pylorus preserving technique, with vagotomy",,,,
Qualifier1,1,WB,using open approach with radical exenteration,,,,
Qualifier1,1,WC,using open approach with radical maxillary antrectomy,,,,
Qualifier1,1,WD,using open approach with radical neck dissection,,,,
Qualifier1,1,WE,using open approach with removal of annulus,,,,
Qualifier1,1,WF,using open approach with resected nerve end buried,,,,
Qualifier1,1,WG,using open approach with resected nerve end coagulated [and buried],,,,
Qualifier1,1,WH,using open approach with size reduction technique NEC [without excision],,,,
Qualifier1,1,WJ,using open approach with special excisional technique,,,,
Qualifier1,1,WK,using open approach with special incisional technique,,,,
Qualifier1,1,WL,using open approach with splitting technique,,,,
Qualifier1,1,WM,using open approach with stripping technique,,,,
Qualifier1,1,WN,using open approach with subcutaneous mastectomy with nipple areola preservation,,,,
Qualifier1,1,WP,using open approach with super radical excision,,,,
Qualifier1,1,WQ,using open approach with suture technique,,,,
Qualifier1,1,WR,using open approach with sympathectomy,,,,
Qualifier1,1,WD,using open approach with tarsectomy mullerectomy,,,,
Qualifier1,1,WT,using open approach with temporary bypass,,,,
Qualifier1,1,WU,using open approach with tenodesis technique,,,,
Qualifier1,1,WV,using open approach with thyrotomy,,,,
Qualifier1,1,WW,using open approach with total (complete) exenteration,,,,
Qualifier1,1,WX,using open approach with total cavopulmonary connection,,,,
Qualifier1,1,WY,using open approach with total female pelvic exenteration,,,,
Qualifier1,1,WZ,"using open approach with total female pelvic exenteration, with vaginal reconstruction",,,,
Qualifier1,1,XA,"using open approach with total female pelvic exenteration with vaginal reconstruction, with rectal anastomosis",,,,
Qualifier1,1,XB,using open approach with total tarsorrhaphy,,,,
Qualifier1,1,XC,using open approach with trabeculectomy,,,,
Qualifier1,1,XD,using open approach with trabeculotomy,,,,
Qualifier1,1,XE,using open approach with transcanal mastoidectomy,,,,
Qualifier1,1,XF,using open approach with transection technique,,,,
Qualifier1,1,XG,using open approach with tympanoplasty type 1,,,,
Qualifier1,1,XH,using open approach with tympanoplasty type 2,,,,
Qualifier1,1,XJ,using open approach with tympanoplasty type 3,,,,
Qualifier1,1,XK,using open approach with tympanoplasty type 4,,,,
Qualifier1,1,XL,using open approach with tympanoplasty type 5,,,,
Qualifier1,1,XM,using open approach with use of multiple drains,,,,
Qualifier1,1,XN,using open approach with vagotomy NEC [truncal or NOS],,,,
Qualifier1,1,XO,using endoscopic [laparoscopic] approach with vertical banded technique,,,,
Qualifier1,1,XP,using open approach with vertical banded technique,,,,
Qualifier1,1,XQ,using open approach with vitrectomy technique,,,,
Qualifier1,1,XS,using open approach with splitting technique and exocrine drainage via bladder,,,,
Qualifier1,1,XT,using open approach with splitting technique and exocrine drainage via intestine,,,,
Qualifier1,1,XU,using open approach with multiple sites and exocrine drainage via bladder,,,,
Qualifier1,1,XV,using open approach and multiple sites with exocrine drainage via intestine,,,,
Qualifier1,1,XY,using open approach with transannular patch,,,,
Qualifier1,1,YA,route NEC,,,,
Qualifier1,1,YB,continence training,,,,
Qualifier1,1,YC,using forced expiration (e.g. coughing),,,,
Qualifier1,1,YD,using exercise NOS,,,,
Qualifier1,1,YE,using breathing exercise,,,,
Qualifier1,1,YF,using conditioning exercise,,,,
Qualifier1,1,YG,using exertional rotation exercise,,,,
Qualifier1,1,YH,using mobility exercise (joint motion),,,,
Qualifier1,1,YK,using passive motion exercise,,,,
Qualifier1,1,YL,using postural (training) exercise,,,,
Qualifier1,1,YN,using active range of motion exercise,,,,
Qualifier1,1,YP,using functional training,,,,
Qualifier1,1,YQ,using resistive exercise,,,,
Qualifier1,1,YS,using muscle relaxation technique,,,,
Qualifier1,1,YT,using partial activity restriction,,,,
Qualifier1,1,YW,using total activity restriction,,,,
Qualifier1,1,YY,using breathing and position maneuvers,,,,
Qualifier1,1,YZ,using forced expulsion,,,,
Qualifier1,1,ZA,using aquatic exercise,,,,
Qualifier1,1,ZB,using balance training exercise,,,,
Qualifier1,1,ZC,work hardening exercise,,,,
Qualifier1,1,ZD,work conditioning exercise,,,,
Qualifier1,1,ZZ,using technique NEC,,,,
Qualifier2,1,1C,using thrombolytic agent,"e.g. anistreplase, alteplase, retaplase, streptokinase, tenecteplase, TNKase (TNK), tissue plasminogen activator (tPA), urokinase",Blood and blood forming organ agents,2,B01
Qualifier2,1,A0,using alimentary tract and metabolism agent,,Alimentary tract and metabolism agents,1,
Qualifier2,1,A1,using stomatological or mouth preparation agent,"e.g. hydrogen peroxide, chlorhexidine, nystatin, benzydamine, fluoride, triamcinolone, for local oral treatment",Alimentary tract and metabolism agents,1,A01
Qualifier2,1,A2,using antacid or drug for treatment of peptic ulcer and flatulence,"e.g. antacids, ranitidine, misoprostol, omeprazole, sucralfate, simethicone",Alimentary tract and metabolism agents,1,A02
Qualifier2,1,A3,using antispasmodic or anticholinergic agent and propulsive agent,"e.g. propantheline, atropine, belladonna alkaloids, metoclopramide, cisapride, domperidone",Alimentary tract and metabolism agents,1,A03
Qualifier2,1,A4,using antiemetic or antinauseant agent,"e.g. ondansetron, scopolamine, dimenhydrinate",Alimentary tract and metabolism agents,1,A04
Qualifier2,1,A5,using bile and liver therapy agent,e.g. ursodiol,Alimentary tract and metabolism agents,1,A05
Qualifier2,1,A6,using laxative agent,"e.g. docusate, bisacodyl, cascara, senna, psyllium, osmotic laxatives, enema laxatives",Alimentary tract and metabolism agents,1,A06
Qualifier2,1,A7,"using antidiarrheals, intestinal antiinflammatory or anti-infective agent","e.g. neomycin, charcoal, bismuth subsalicylate, attapulgite, loperamide, mesalimine",Alimentary tract and metabolism agents,1,A07
Qualifier2,1,A8,using anti-obesity preparation agent,"e.g. phentermine, diethylpropion",Alimentary tract and metabolism agents,1,A08
Qualifier2,1,A9,using digestive agent,"e.g. pepsin, lactase",Alimentary tract and metabolism agents,1,A09
Qualifier2,1,AB,and scraping device,,Miscellaneous,9,
Qualifier2,1,AC,and cold knife,,Miscellaneous,9,
Qualifier2,1,AD,and cryoprobe,,Miscellaneous,9,
Qualifier2,1,AE,and curette,,Miscellaneous,9,
Qualifier2,1,AF,and aspiration curette,,Miscellaneous,9,
Qualifier2,1,AG,and laser NEC,,Miscellaneous,9,
Qualifier2,1,AH,and laser with prosthesis,,Miscellaneous,9,
Qualifier2,1,AK,and (electric) loop,,Miscellaneous,9,
Qualifier2,1,AL,and electrical device,,Miscellaneous,9,
Qualifier2,1,AM,and basket device,,Miscellaneous,9,
Qualifier2,1,AN,and electrocoagulation,,Miscellaneous,9,
Qualifier2,1,AP,and electrical spark,,Miscellaneous,9,
Qualifier2,1,AQ,and electromagnetic shock wave,,Miscellaneous,9,
Qualifier2,1,AR,and piezoelectric shock wave,,Miscellaneous,9,
Qualifier2,1,AS,and electrohydraulic device,,Miscellaneous,9,
Qualifier2,1,AT,and electromechanical device,,Miscellaneous,9,
Qualifier2,1,AU,and electrosleeve,,Miscellaneous,9,
Qualifier2,1,AV,and probe,,Miscellaneous,9,
Qualifier2,1,AW,and radiofrequency,,Miscellaneous,9,
Qualifier2,1,AY,and dermatome,,Miscellaneous,9,
Qualifier2,1,AZ,and ultrasonic device,,Miscellaneous,9,
Qualifier2,1,B1,using diabetes treatment agent,"e.g. insulins, metformin, chlorpropamide, tolbutamide, glyburide, gliclazide",Alimentary tract and metabolism agents,1,A10
Qualifier2,1,B2,using vitamin agent,"e.g single vitamins, multivitamins, vitamins with minerals",Alimentary tract and metabolism agents,1,A11
Qualifier2,1,B3,using mineral supplement agent,"e.g. calcium, potassium, magnesium, zinc, sodium",Alimentary tract and metabolism agents,1,A12
Qualifier2,1,B4,using tonic,,Alimentary tract and metabolism agents,1,A13
Qualifier2,1,B5,using anabolic agent,e.g. nandrolone,Alimentary tract and metabolism agents,1,A14
Qualifier2,1,B6,using appetite stimulant agent,,Alimentary tract and metabolism agents,1,A15
Qualifier2,1,B7,using other alimentary tract and metabolism agent,"e.g. amino acids and derivatives, anethol trithion",Alimentary tract and metabolism agents,1,A16
Qualifier2,1,BC,and pneumatic balloon dilator,,Miscellaneous,9,
Qualifier2,1,BD,and mechanical balloon dilator,,Miscellaneous,9,
Qualifier2,1,BE,and high pressure balloon dilator,,Miscellaneous,9,
Qualifier2,1,BF,and balloon dilator with laser,,Miscellaneous,9,
Qualifier2,1,BH,and contraceptive device,,Miscellaneous,9,
Qualifier2,1,BI,and flexible dilatator with laser,,Miscellaneous,9,
Qualifier2,1,BJ,and flexible dilator,,Miscellaneous,9,
Qualifier2,1,BK,and hydraulic dilator,,Miscellaneous,9,
Qualifier2,1,BL,and hydrostatic balloon dilator,,Miscellaneous,9,
Qualifier2,1,BM,and hyperbaric dilator,,Miscellaneous,9,
Qualifier2,1,BP,and rigid or telescoping sound dilator,,Miscellaneous,9,
Qualifier2,1,BR,and hemodialysis,,Miscellaneous,9,
Qualifier2,1,BS,continuous venovenous hemodialysis,,Miscellaneous,9,
Qualifier2,1,C0,using blood and blood forming agent,,Blood and blood forming organ agents,2,
Qualifier2,1,C1,using antithrombotic agent,"e.g. warfarin, heparin, enoxaparin, dipyridamole, glycoprotein llb/llla receptor inhibitors (GPI) (e.g. ReoPro [abciximab], Aggrastat [tirofiban HCI], Integrilin [eptifibatide], lamifiban])",Blood and blood forming organ agents,2,B01
Qualifier2,1,C2,using antihemorrhagic agent,"e.g. aminocaproic acid, aprotinin, phytonadione, thrombin, coagulation factors",Blood and blood forming organ agents,2,B02
Qualifier2,1,C3,using antianemic agent,"e.g. iron, cyanocobalamin, folic acid, erythropoietin",Blood and blood forming organ agents,2,B03
Qualifier2,1,C4,using serum lipid reducing agent,,Miscellaneous,9,
Qualifier2,1,C5,using blood related product or agent,"e.g. albumin, dextran, hetastarch",Blood and blood forming organ agents,2,B05A
Qualifier2,1,C6,using parenteral nutrition solution or agent,"e.g. amino acids, fat emulsions, carbohydrates and combinations, for parenteral nutrition",Blood and blood forming organ agents,2,B05BA
Qualifier2,1,C7,using electrolyte balance agent,"e.g. electrolytes, electrolytes with carbohydrates, for IV administration",Blood and blood forming organ agents,2,B05BB
